2025-12-22T21:25:48.805445 | RAM: 18.9/503.7GB (3.7%) | CPU: 31.42 | GPU util: 0.0% | VRAM: 0.0% | pending_eval: 0 | pending_combine: 0 | gpu_procs: 8 | eval_procs: 16
2025-12-22T21:26:48.910861 | RAM: 36.1/503.7GB (7.2%) | CPU: 21.51 | GPU util: 2.9% | VRAM: 7.1% | pending_eval: 0 | pending_combine: 0 | gpu_procs: 8 | eval_procs: 16
2025-12-22T21:27:49.002471 | RAM: 44.9/503.7GB (8.9%) | CPU: 19.17 | GPU util: 73.2% | VRAM: 98.2% | pending_eval: 8 | pending_combine: 0 | gpu_procs: 8 | eval_procs: 64
2025-12-22T21:28:49.336819 | RAM: 45.6/503.7GB (9.1%) | CPU: 39.69 | GPU util: 76.8% | VRAM: 98.2% | pending_eval: 7 | pending_combine: 1 | gpu_procs: 8 | eval_procs: 58
2025-12-22T21:29:49.626651 | RAM: 45.8/503.7GB (9.1%) | CPU: 42.94 | GPU util: 80.6% | VRAM: 98.2% | pending_eval: 3 | pending_combine: 6 | gpu_procs: 8 | eval_procs: 38
2025-12-22T21:30:49.778474 | RAM: 45.8/503.7GB (9.1%) | CPU: 48.86 | GPU util: 73.8% | VRAM: 98.2% | pending_eval: 8 | pending_combine: 0 | gpu_procs: 8 | eval_procs: 80
2025-12-22T21:31:50.058205 | RAM: 45.8/503.7GB (9.1%) | CPU: 55.47 | GPU util: 75.2% | VRAM: 98.2% | pending_eval: 8 | pending_combine: 0 | gpu_procs: 8 | eval_procs: 92
2025-12-22T21:32:50.320592 | RAM: 46.0/503.7GB (9.1%) | CPU: 62.41 | GPU util: 67.0% | VRAM: 98.2% | pending_eval: 12 | pending_combine: 4 | gpu_procs: 8 | eval_procs: 98
2025-12-22T21:33:50.664119 | RAM: 45.5/503.7GB (9.0%) | CPU: 60.25 | GPU util: 75.6% | VRAM: 98.2% | pending_eval: 7 | pending_combine: 0 | gpu_procs: 8 | eval_procs: 58
2025-12-22T21:34:51.038199 | RAM: 45.4/503.7GB (9.0%) | CPU: 44.71 | GPU util: 82.4% | VRAM: 98.2% | pending_eval: 1 | pending_combine: 7 | gpu_procs: 8 | eval_procs: 27
2025-12-22T21:35:51.162364 | RAM: 45.5/503.7GB (9.0%) | CPU: 43.14 | GPU util: 78.8% | VRAM: 98.2% | pending_eval: 8 | pending_combine: 0 | gpu_procs: 8 | eval_procs: 64
2025-12-22T21:36:51.511712 | RAM: 45.1/503.7GB (9.0%) | CPU: 44.57 | GPU util: 79.8% | VRAM: 98.2% | pending_eval: 1 | pending_combine: 7 | gpu_procs: 8 | eval_procs: 28
2025-12-22T21:37:51.623214 | RAM: 45.2/503.7GB (9.0%) | CPU: 43.28 | GPU util: 66.5% | VRAM: 98.2% | pending_eval: 7 | pending_combine: 8 | gpu_procs: 8 | eval_procs: 58
2025-12-22T21:38:51.876643 | RAM: 45.6/503.7GB (9.0%) | CPU: 47.65 | GPU util: 77.1% | VRAM: 98.2% | pending_eval: 7 | pending_combine: 1 | gpu_procs: 8 | eval_procs: 60
2025-12-22T21:39:52.165074 | RAM: 45.5/503.7GB (9.0%) | CPU: 57.69 | GPU util: 64.2% | VRAM: 98.2% | pending_eval: 11 | pending_combine: 8 | gpu_procs: 8 | eval_procs: 85
